model_name;original_accuracy_diff_raw;semantic_accuracy_diff_raw;context_accuracy_diff_raw;ori_sema_diff_raw;ori_sema_cont_diff_raw;overall_accuracy_diff_raw;original_accuracy_diff_postprocessed;semantic_accuracy_diff_postprocessed;context_accuracy_diff_postprocessed;ori_sema_diff_postprocessed;ori_sema_cont_diff_postprocessed;overall_accuracy_diff_postprocessed
llama3.1:8b-instruct-q8_0;-5.29;1.92;-0.96;-3.84;0.96;-1.44;-5.29;1.92;-0.96;-3.84;0.96;-1.44
llama3.2:1b-instruct-fp16;-1.93;-7.21;-5.28;-3.85;-2.89;-4.81;-1.93;-7.21;-5.28;-3.85;-2.89;-4.81
llama3.2:3b-instruct-fp16;1.93;4.81;-1.92;4.33;1.44;1.61;1.93;4.81;-1.92;4.33;1.44;1.61
phi3.5:3.8b-mini-instruct-fp16;47.12;46.16;55.77;36.06;25.00;49.68;47.60;47.60;55.28;36.54;25.96;50.16
phi4:14b-q8_0;-0.96;-4.33;-3.36;-1.92;-2.88;-2.88;-0.49;-2.89;-2.89;-0.96;-4.33;-2.09
qwen2.5:0.5b-instruct-fp16;5.77;3.84;3.36;4.81;4.33;4.32;5.29;3.85;4.32;4.32;5.29;4.48
qwen2.5:1.5b-instruct-fp16;3.36;0.00;1.44;2.41;2.41;1.60;3.36;0.00;1.44;2.41;2.41;1.60
qwen2.5:3b-instruct-fp16;10.58;9.13;10.09;8.65;8.65;9.93;12.99;10.57;11.54;11.05;11.53;11.69
qwen2.5:7b-instruct-q8_0;4.32;5.29;1.93;4.32;5.76;3.85;4.32;5.29;1.93;4.32;5.76;3.85
qwen2.5:14b-instruct-q8_0;5.76;7.21;5.77;8.17;7.69;6.25;5.76;7.21;5.77;8.17;7.69;6.25
qwen2.5:32b-instruct-q4_K_M;0.96;4.33;4.81;3.36;5.77;3.37;0.96;4.33;4.81;3.36;5.77;3.37
gemma2:2b-instruct-fp16;8.18;6.25;10.58;6.25;7.70;8.34;7.69;6.73;10.58;6.25;8.65;8.34
gemma2:9b-instruct-q8_0;1.44;6.25;5.29;4.81;3.85;4.32;0.96;1.93;2.40;1.44;1.92;1.77
gemma2:27b-instruct-q4_K_M;1.92;0.49;-0.48;0.48;0.00;0.64;3.36;0.97;1.44;1.92;2.41;1.92
mistral-nemo:12b-instruct-2407-q8_0;7.70;3.36;9.14;5.77;7.69;6.73;8.17;3.36;10.58;5.77;8.65;7.38
llama3.1:8b-instruct-q8_0;2.45;3.68;7.97;4.30;3.07;4.70;2.45;3.68;7.97;4.30;3.07;4.70
llama3.2:1b-instruct-fp16;-11.04;-4.91;-10.43;0.00;1.84;-8.80;-11.04;-4.91;-10.43;0.00;1.84;-8.80
llama3.2:3b-instruct-fp16;14.11;5.52;11.66;6.75;6.13;10.43;14.11;5.52;11.66;6.75;6.13;10.43
phi3.5:3.8b-mini-instruct-fp16;-28.84;-22.08;-20.86;-19.02;-7.97;-23.92;-25.77;-20.24;-18.41;-18.41;-8.59;-21.47
phi4:14b-q8_0;-2.45;0.62;-3.07;-1.22;-4.91;-1.64;-2.45;0.00;-3.07;-1.84;-5.52;-1.84
qwen2.5:0.5b-instruct-fp16;-5.52;-1.84;-3.68;-3.07;-1.23;-3.68;-6.13;-1.84;-3.06;-3.68;-0.61;-3.68
qwen2.5:1.5b-instruct-fp16;-7.36;-4.29;-6.75;-5.52;-4.29;-6.13;-7.36;-4.29;-6.75;-5.52;-4.29;-6.13
qwen2.5:3b-instruct-fp16;-31.29;-23.93;-33.75;-22.09;-10.43;-29.65;-2.46;6.75;-7.37;-6.75;-6.13;-1.02
qwen2.5:7b-instruct-q8_0;6.75;8.58;10.43;11.04;9.82;8.59;6.75;8.58;10.43;11.04;9.82;8.59
qwen2.5:14b-instruct-q8_0;13.50;13.50;13.49;15.34;10.43;13.50;13.50;13.50;13.49;15.34;10.43;13.50
qwen2.5:32b-instruct-q4_K_M;11.04;11.65;13.50;11.66;11.66;12.06;11.04;11.65;13.50;11.66;11.66;12.06
gemma2:2b-instruct-fp16;-3.07;-1.84;0.61;-1.84;-1.84;-1.43;-3.69;-2.46;0.61;-1.84;-1.84;-1.84
gemma2:9b-instruct-q8_0;1.23;4.90;4.30;2.45;4.91;3.48;1.23;3.07;4.30;3.06;3.68;2.86
gemma2:27b-instruct-q4_K_M;1.23;3.07;3.07;3.69;4.91;2.45;1.23;3.07;3.07;3.69;4.91;2.45
mistral-nemo:12b-instruct-2407-q8_0;-42.94;-38.65;-47.24;-29.45;-19.63;-42.95;-6.13;-3.07;-17.79;-15.34;-16.57;-9.00
