model_name;original_accuracy_diff_raw;semantic_accuracy_diff_raw;context_accuracy_diff_raw;ori_sema_diff_raw;ori_sema_cont_diff_raw;overall_accuracy_diff_raw;original_accuracy_diff_postprocessed;semantic_accuracy_diff_postprocessed;context_accuracy_diff_postprocessed;ori_sema_diff_postprocessed;ori_sema_cont_diff_postprocessed;overall_accuracy_diff_postprocessed
llama3.1:8b-instruct-q8_0;29.03;24.69;31.90;29.91;29.37;28.54;27.12;22.78;29.99;28.00;28.41;26.62
llama3.2:1b-instruct-fp16;18.30;16.38;20.70;6.75;2.42;18.46;15.43;14.47;16.87;3.40;-0.93;15.59
llama3.2:3b-instruct-fp16;24.11;21.21;30.84;13.01;11.54;25.39;18.37;16.43;24.14;9.66;8.67;19.64
phi3.5:3.8b-mini-instruct-fp16;-0.95;0.01;-0.95;-0.48;0.00;-0.63;-1.43;-0.95;-1.41;-0.48;-0.48;-1.27
phi4:14b-q8_0;21.42;30.05;30.03;28.08;34.73;27.16;8.99;15.22;20.48;16.13;22.30;14.90
qwen2.5:0.5b-instruct-fp16;10.14;13.04;11.60;5.78;2.88;11.59;4.88;6.34;5.86;2.92;0.97;5.69
qwen2.5:1.5b-instruct-fp16;27.98;28.00;31.84;24.11;21.18;29.27;27.98;27.04;28.97;24.11;20.70;27.99
qwen2.5:3b-instruct-fp16;19.81;21.26;19.82;15.93;8.22;20.30;17.89;18.86;15.99;14.02;6.78;17.59
qwen2.5:7b-instruct-q8_0;8.94;14.20;8.95;12.73;13.63;10.69;8.46;14.20;8.47;12.73;13.63;10.38
qwen2.5:14b-instruct-q8_0;23.76;29.01;29.97;28.97;28.43;27.58;17.54;24.22;23.75;25.14;23.65;21.84
qwen2.5:32b-instruct-q4_K_M;17.59;25.69;21.36;27.12;25.10;21.55;13.28;21.87;18.49;21.85;22.23;17.88
gemma2:2b-instruct-fp16;26.98;24.59;20.27;23.59;12.51;23.95;2.59;5.45;-1.26;3.50;0.08;2.26
gemma2:9b-instruct-q8_0;7.08;0.33;5.59;1.27;5.99;4.34;6.61;5.63;4.18;5.62;5.07;5.47
gemma2:27b-instruct-q4_K_M;19.05;21.42;23.83;28.10;36.19;21.44;3.74;6.11;6.61;5.62;10.35;5.49
mistral-nemo:12b-instruct-2407-q8_0;32.34;36.65;32.33;29.40;25.51;33.77;26.13;30.43;28.50;22.71;22.16;28.35
llama3.1:8b-instruct-q8_0;21.03;25.29;12.47;21.54;13.53;19.60;11.88;21.02;10.03;17.28;12.31;14.31
llama3.2:1b-instruct-fp16;17.18;11.06;22.71;2.46;-1.22;16.99;16.57;11.06;22.10;1.85;-1.83;16.58
llama3.2:3b-instruct-fp16;-7.81;3.17;-1.69;-0.55;-2.43;-2.11;-10.86;-2.32;-5.96;-4.20;-6.09;-6.38
phi3.5:3.8b-mini-instruct-fp16;31.30;25.16;27.00;19.03;8.59;27.82;30.69;24.55;27.62;19.03;9.21;27.62
phi4:14b-q8_0;29.10;30.89;36.40;31.46;30.17;32.13;22.39;24.81;29.70;26.59;24.68;25.63
qwen2.5:0.5b-instruct-fp16;22.15;21.52;21.57;11.69;7.37;21.74;19.72;17.86;17.91;11.08;7.37;18.50
qwen2.5:1.5b-instruct-fp16;30.74;28.88;28.97;21.50;13.51;29.53;30.14;27.66;27.75;20.89;12.90;28.51
qwen2.5:3b-instruct-fp16;16.69;17.24;17.92;13.55;7.38;17.28;15.47;16.02;17.92;12.94;7.38;16.47
qwen2.5:7b-instruct-q8_0;31.44;30.78;24.66;25.85;13.52;28.95;31.44;30.78;24.66;25.85;13.52;28.95
qwen2.5:14b-instruct-q8_0;25.27;30.11;26.47;22.74;14.74;27.28;23.44;27.67;23.42;20.91;14.13;24.84
qwen2.5:32b-instruct-q4_K_M;32.08;35.71;23.46;32.01;23.35;30.42;31.47;35.10;21.63;31.40;22.74;29.40
gemma2:2b-instruct-fp16;32.58;28.88;29.55;22.73;14.73;30.34;27.72;26.45;21.01;20.29;14.12;25.06
gemma2:9b-instruct-q8_0;8.92;19.90;19.29;16.17;16.09;16.03;8.94;20.53;15.04;18.04;19.18;14.84
gemma2:27b-instruct-q4_K_M;22.37;23.56;18.06;25.33;24.04;21.33;10.78;9.53;10.74;10.70;13.06;10.36
mistral-nemo:12b-instruct-2407-q8_0;35.02;30.12;35.06;23.96;19.02;33.40;33.19;29.51;33.23;22.13;19.64;31.98
