model_name;original_accuracy_baseline;original_accuracy_optimized;original_accuracy_diff;semantic_accuracy_baseline;semantic_accuracy_optimized;semantic_accuracy_diff;context_accuracy_baseline;context_accuracy_optimized;context_accuracy_diff;ori_sema_baseline;ori_sema_optimized;ori_sema_diff;ori_sema_cont_baseline;ori_sema_cont_optimized;ori_sema_cont_diff;overall_accuracy_baseline;overall_accuracy_optimized;overall_accuracy_diff
llama3.1:8b-instruct-q8_0;37.80;66.83;29.03;34.93;59.62;24.69;35.41;67.31;31.90;21.53;51.44;29.91;9.09;38.46;29.37;36.04;64.58;28.54
llama3.2:1b-instruct-fp16;5.26;23.56;18.30;7.66;24.04;16.38;6.70;27.40;20.70;4.31;11.06;6.75;3.35;5.77;2.42;6.54;25.00;18.46
llama3.2:3b-instruct-fp16;14.83;38.94;24.11;12.44;33.65;21.21;15.31;46.15;30.84;6.22;19.23;13.01;0.00;11.54;11.54;14.19;39.58;25.39
phi3.5:3.8b-mini-instruct-fp16;1.91;0.96;-0.95;1.91;1.92;0.01;3.35;2.40;-0.95;1.44;0.96;-0.48;0.96;0.96;0.00;2.39;1.76;-0.63
phi4:14b-q8_0;55.98;77.40;21.42;49.28;79.33;30.05;46.41;76.44;30.03;42.11;70.19;28.08;24.40;59.13;34.73;50.56;77.72;27.16
qwen2.5:0.5b-instruct-fp16;9.09;19.23;10.14;11.00;24.04;13.04;11.48;23.08;11.60;3.35;9.13;5.78;0.00;2.88;2.88;10.53;22.12;11.59
qwen2.5:1.5b-instruct-fp16;20.10;48.08;27.98;23.44;51.44;28.00;22.01;53.85;31.84;14.35;38.46;24.11;5.26;26.44;21.18;21.85;51.12;29.27
qwen2.5:3b-instruct-fp16;20.57;40.38;19.81;20.57;41.83;21.26;22.01;41.83;19.82;12.92;28.85;15.93;8.13;16.35;8.22;21.05;41.35;20.30
qwen2.5:7b-instruct-q8_0;57.89;66.83;8.94;53.59;67.79;14.20;61.24;70.19;8.95;46.89;59.62;12.73;33.49;47.12;13.63;57.58;68.27;10.69
qwen2.5:14b-instruct-q8_0;42.11;65.87;23.76;33.97;62.98;29.01;34.93;64.90;29.97;25.36;54.33;28.97;12.44;40.87;28.43;37.00;64.58;27.58
qwen2.5:32b-instruct-q4_K_M;58.85;76.44;17.59;44.98;70.67;25.69;43.06;64.42;21.36;39.71;66.83;27.12;21.53;46.63;25.10;48.96;70.51;21.55
gemma2:2b-instruct-fp16;13.40;40.38;26.98;14.35;38.94;24.59;16.27;36.54;20.27;7.18;30.77;23.59;2.87;15.38;12.51;14.67;38.62;23.95
gemma2:9b-instruct-q8_0;71.29;78.37;7.08;69.38;69.71;0.33;63.64;69.23;5.59;64.11;65.38;1.27;46.89;52.88;5.99;68.10;72.44;4.34
gemma2:27b-instruct-q4_K_M;61.72;80.77;19.05;56.46;77.88;21.42;56.94;80.77;23.83;44.98;73.08;28.10;28.71;64.90;36.19;58.37;79.81;21.44
mistral-nemo:12b-instruct-2407-q8_0;26.79;59.13;32.34;22.97;59.62;36.65;25.36;57.69;32.33;16.27;45.67;29.40;5.74;31.25;25.51;25.04;58.81;33.77
llama3.1:8b-instruct-q8_0;27.44;48.47;21.03;22.56;47.85;25.29;32.93;45.40;12.47;12.20;33.74;21.54;6.10;19.63;13.53;27.64;47.24;19.60
llama3.2:1b-instruct-fp16;1.22;18.40;17.18;2.44;13.50;11.06;2.44;25.15;22.71;1.22;3.68;2.46;1.22;0.00;-1.22;2.03;19.02;16.99
llama3.2:3b-instruct-fp16;27.44;19.63;-7.81;16.46;19.63;3.17;25.00;23.31;-1.69;10.98;10.43;-0.55;3.66;1.23;-2.43;22.97;20.86;-2.11
phi3.5:3.8b-mini-instruct-fp16;1.22;32.52;31.30;1.83;26.99;25.16;1.22;28.22;27.00;1.22;20.25;19.03;0.61;9.20;8.59;1.42;29.24;27.82
phi4:14b-q8_0;42.68;71.78;29.10;36.59;67.48;30.89;32.93;69.33;36.40;28.66;60.12;31.46;16.46;46.63;30.17;37.40;69.53;32.13
qwen2.5:0.5b-instruct-fp16;10.98;33.13;22.15;7.93;29.45;21.52;15.85;37.42;21.57;5.49;17.18;11.69;1.22;8.59;7.37;11.59;33.33;21.74
qwen2.5:1.5b-instruct-fp16;12.20;42.94;30.74;7.93;36.81;28.88;21.34;50.31;28.97;4.27;25.77;21.50;2.44;15.95;13.51;13.82;43.35;29.53
qwen2.5:3b-instruct-fp16;19.51;36.20;16.69;10.98;28.22;17.24;20.12;38.04;17.92;9.15;22.70;13.55;3.66;11.04;7.38;16.87;34.15;17.28
qwen2.5:7b-instruct-q8_0;24.39;55.83;31.44;15.85;46.63;30.78;18.90;43.56;24.66;12.80;38.65;25.85;4.88;18.40;13.52;19.72;48.67;28.95
qwen2.5:14b-instruct-q8_0;18.90;44.17;25.27;9.15;39.26;30.11;13.41;39.88;26.47;7.32;30.06;22.74;3.05;17.79;14.74;13.82;41.10;27.28
qwen2.5:32b-instruct-q4_K_M;28.66;60.74;32.08;20.12;55.83;35.71;24.39;47.85;23.46;17.07;49.08;32.01;7.32;30.67;23.35;24.39;54.81;30.42
gemma2:2b-instruct-fp16;11.59;44.17;32.58;8.54;37.42;28.88;15.24;44.79;29.55;4.88;27.61;22.73;1.83;16.56;14.73;11.79;42.13;30.34
gemma2:9b-instruct-q8_0;54.88;63.80;8.92;42.68;62.58;19.90;44.51;63.80;19.29;35.98;52.15;16.17;22.56;38.65;16.09;47.36;63.39;16.03
gemma2:27b-instruct-q4_K_M;46.34;68.71;22.37;40.24;63.80;23.56;43.90;61.96;18.06;29.88;55.21;25.33;18.29;42.33;24.04;43.50;64.83;21.33
mistral-nemo:12b-instruct-2407-q8_0;9.15;44.17;35.02;10.37;40.49;30.12;13.41;48.47;35.06;5.49;29.45;23.96;0.61;19.63;19.02;10.98;44.38;33.40
