model_name;original_accuracy_diff_raw;semantic_accuracy_diff_raw;context_accuracy_diff_raw;ori_sema_diff_raw;ori_sema_cont_diff_raw;overall_accuracy_diff_raw;original_accuracy_diff_postprocessed;semantic_accuracy_diff_postprocessed;context_accuracy_diff_postprocessed;ori_sema_diff_postprocessed;ori_sema_cont_diff_postprocessed;overall_accuracy_diff_postprocessed
llama3.1:8b-instruct-q8_0;-0.96;-7.18;-0.95;-0.48;-0.96;-3.03;-4.31;-13.40;-8.61;-8.14;-8.13;-8.77
llama3.2:1b-instruct-fp16;0.95;3.35;1.92;4.31;3.35;2.07;-6.22;-1.43;-3.35;3.35;5.26;-3.67
llama3.2:3b-instruct-fp16;-1.92;0.00;-0.96;0.96;-0.48;-0.96;-7.66;-6.70;-5.26;-1.43;-0.96;-6.54
phi3.5:3.8b-mini-instruct-fp16;1.91;1.91;2.39;1.44;0.96;2.07;-1.44;-0.96;-0.48;0.48;0.48;-0.96
phi4:14b-q8_0;4.78;-0.96;-0.48;1.44;0.00;1.12;1.44;-0.48;-0.48;-2.39;-2.39;0.15
qwen2.5:0.5b-instruct-fp16;7.65;8.61;6.22;3.35;0.00;7.50;-9.57;-3.35;-14.36;0.96;0.47;-9.09
qwen2.5:1.5b-instruct-fp16;5.27;8.13;2.39;5.26;0.48;5.26;4.31;6.22;1.91;3.82;-0.48;4.15
qwen2.5:3b-instruct-fp16;20.57;20.57;22.01;12.92;8.13;21.05;-3.35;-3.82;-7.17;4.78;8.13;-4.79
qwen2.5:7b-instruct-q8_0;-3.83;-6.22;-1.44;-6.70;-7.66;-3.82;-3.35;-6.22;-0.96;-6.70;-7.66;-3.51
qwen2.5:14b-instruct-q8_0;-7.65;-12.92;-13.40;-9.57;-8.61;-11.33;-18.66;-26.79;-21.53;-28.23;-25.84;-22.33
qwen2.5:32b-instruct-q4_K_M;-12.44;-20.09;-17.23;-18.66;-19.62;-16.59;-14.35;-22.49;-20.10;-21.05;-24.40;-18.98
gemma2:2b-instruct-fp16;12.44;11.96;10.53;7.18;2.87;11.64;-10.05;-10.05;-15.79;-6.22;-9.57;-11.96
gemma2:9b-instruct-q8_0;4.30;10.53;4.31;14.83;11.96;6.38;-8.61;-8.13;-5.74;-8.61;-9.09;-7.50
gemma2:27b-instruct-q4_K_M;35.40;35.89;31.10;33.50;23.93;34.13;-8.14;-7.66;-10.05;-7.66;-13.87;-8.61
mistral-nemo:12b-instruct-2407-q8_0;2.39;-0.95;-2.39;1.44;-0.96;-0.32;-3.35;-4.30;-6.70;-1.92;-4.79;-4.79
llama3.1:8b-instruct-q8_0;-4.27;-9.76;-13.41;-4.26;-2.44;-9.15;-3.04;-12.80;-17.07;-7.93;-7.92;-10.97
llama3.2:1b-instruct-fp16;-0.61;0.61;1.83;1.22;1.22;0.61;-7.93;-8.54;-6.71;0.00;1.22;-7.72
llama3.2:3b-instruct-fp16;17.68;10.97;12.20;8.54;3.66;13.62;14.64;10.97;12.20;9.75;7.32;12.61
phi3.5:3.8b-mini-instruct-fp16;0.61;0.61;1.22;1.22;0.61;0.81;-0.61;0.00;0.00;1.22;0.61;-0.21
phi4:14b-q8_0;22.56;18.91;18.91;21.34;14.63;20.12;-18.29;-14.64;-14.03;-10.36;-4.88;-15.65
qwen2.5:0.5b-instruct-fp16;9.76;6.71;15.24;5.49;1.22;10.57;-16.47;-23.78;-6.10;-7.31;-3.05;-15.45
qwen2.5:1.5b-instruct-fp16;-0.60;0.61;5.49;-0.61;-0.61;1.83;0.00;1.22;6.10;0.00;0.00;2.44
qwen2.5:3b-instruct-fp16;19.51;10.98;20.12;9.15;3.66;16.87;-14.03;-26.82;-5.49;-4.87;-1.22;-15.45
qwen2.5:7b-instruct-q8_0;4.27;3.05;1.22;3.04;2.44;2.85;4.27;3.05;1.22;3.04;2.44;2.85
qwen2.5:14b-instruct-q8_0;-5.49;-4.26;-8.54;-1.22;0.61;-6.10;-18.90;-16.46;-13.42;-14.63;-6.71;-16.26
qwen2.5:32b-instruct-q4_K_M;-31.71;-33.54;-24.39;-29.27;-21.34;-29.88;-33.53;-34.76;-23.78;-30.49;-23.17;-30.69
gemma2:2b-instruct-fp16;3.66;3.05;6.09;2.44;1.83;4.27;-12.81;-13.41;-7.93;-7.92;-3.05;-11.38
gemma2:9b-instruct-q8_0;20.12;19.51;17.68;25.61;17.07;19.11;-8.53;-18.29;-11.58;-12.81;-14.63;-12.80
gemma2:27b-instruct-q4_K_M;45.12;40.24;42.07;29.88;18.29;42.48;-9.75;-12.80;-9.15;-10.98;-7.32;-10.57
mistral-nemo:12b-instruct-2407-q8_0;-1.83;0.61;-1.22;1.22;-1.22;-0.81;-6.09;-3.04;-3.05;1.83;-1.22;-4.07
