model_name;original_accuracy_diff_raw;semantic_accuracy_diff_raw;context_accuracy_diff_raw;ori_sema_diff_raw;ori_sema_cont_diff_raw;overall_accuracy_diff_raw;original_accuracy_diff_postprocessed;semantic_accuracy_diff_postprocessed;context_accuracy_diff_postprocessed;ori_sema_diff_postprocessed;ori_sema_cont_diff_postprocessed;overall_accuracy_diff_postprocessed
llama3.1:8b-instruct-q8_0;22.78;19.43;29.99;25.59;29.37;24.07;17.52;11.30;20.42;16.02;21.24;16.41
llama3.2:1b-instruct-fp16;17.32;12.52;17.34;7.21;2.88;15.72;7.28;5.83;8.24;2.90;1.44;7.11
llama3.2:3b-instruct-fp16;24.12;26.02;27.96;18.30;12.50;26.04;12.64;14.54;16.96;12.56;9.15;14.71
phi3.5:3.8b-mini-instruct-fp16;48.08;48.08;57.21;37.02;25.96;51.12;44.73;45.69;53.39;36.54;25.96;47.93
phi4:14b-q8_0;25.24;24.76;26.19;27.60;31.85;25.40;9.94;11.85;17.11;12.78;15.58;12.96
qwen2.5:0.5b-instruct-fp16;23.56;25.49;21.18;13.94;7.21;23.41;0.60;6.84;-4.18;8.20;6.73;1.08
qwen2.5:1.5b-instruct-fp16;36.61;36.13;35.67;31.78;24.07;36.13;35.65;33.26;32.32;30.34;22.63;33.74
qwen2.5:3b-instruct-fp16;50.96;50.96;51.92;37.50;25.00;51.28;27.53;25.61;20.36;29.85;26.44;24.49
qwen2.5:7b-instruct-q8_0;9.43;13.27;9.44;10.35;11.73;10.72;9.43;13.27;9.44;10.35;11.73;10.72
qwen2.5:14b-instruct-q8_0;21.87;23.30;22.34;27.57;27.51;22.50;4.64;4.64;7.99;5.08;5.50;5.76
qwen2.5:32b-instruct-q4_K_M;6.11;9.93;8.94;11.82;11.25;8.33;-0.11;3.71;3.20;4.16;3.60;2.27
gemma2:2b-instruct-fp16;47.60;42.80;41.38;37.02;23.08;43.93;0.23;2.13;-6.47;3.53;-0.84;-1.36
gemma2:9b-instruct-q8_0;12.82;17.11;15.19;20.91;21.80;15.04;-1.04;-0.57;0.84;-1.55;-2.10;-0.26
gemma2:27b-instruct-q4_K_M;56.37;57.80;54.45;62.08;60.12;56.21;-1.04;-0.58;-2.00;-0.12;-1.11;-1.20
mistral-nemo:12b-instruct-2407-q8_0;42.43;39.06;39.08;36.61;32.24;40.18;30.95;29.49;32.38;26.56;26.02;30.94
llama3.1:8b-instruct-q8_0;19.21;19.21;7.03;21.58;14.16;15.15;11.29;11.90;0.93;13.65;7.46;8.04
llama3.2:1b-instruct-fp16;5.53;6.76;14.11;3.68;1.84;8.80;-2.40;-2.39;4.96;1.85;1.23;0.06
llama3.2:3b-instruct-fp16;23.98;19.66;22.17;14.74;7.36;21.94;17.89;14.17;17.90;12.30;7.36;16.66
phi3.5:3.8b-mini-instruct-fp16;3.07;3.69;7.36;1.23;1.23;4.71;4.31;4.31;9.21;1.84;1.23;5.94
phi4:14b-q8_0;49.21;50.42;52.24;51.58;39.89;50.61;1.65;10.17;12.60;14.39;14.28;8.14
qwen2.5:0.5b-instruct-fp16;26.39;26.39;33.13;14.11;7.36;28.63;-2.88;-7.76;8.75;0.09;3.71;-0.63
qwen2.5:1.5b-instruct-fp16;22.78;25.20;27.71;15.37;8.61;25.23;22.78;24.59;27.10;15.37;8.61;24.82
qwen2.5:3b-instruct-fp16;4.91;4.29;4.29;0.61;0.61;4.50;-1.02;-4.05;5.06;1.32;0.03;0.00
qwen2.5:7b-instruct-q8_0;42.46;42.41;36.31;39.93;25.78;40.39;42.46;42.41;36.31;39.93;25.78;40.39
qwen2.5:14b-instruct-q8_0;33.28;39.35;31.42;36.86;25.78;34.68;18.04;24.71;23.49;21.62;17.85;22.08
qwen2.5:32b-instruct-q4_K_M;11.41;13.82;12.57;14.40;13.67;12.60;8.98;11.99;11.35;12.57;11.23;10.77
gemma2:2b-instruct-fp16;33.17;30.09;36.25;23.33;14.72;33.18;11.22;10.58;13.69;10.53;9.23;11.84
gemma2:9b-instruct-q8_0;30.27;44.31;41.27;44.23;38.07;38.62;1.64;5.31;7.76;8.29;8.23;4.90
gemma2:27b-instruct-q4_K_M;68.72;66.87;63.20;58.90;47.24;66.26;2.26;-0.20;4.66;3.41;10.65;2.24
mistral-nemo:12b-instruct-2407-q8_0;-9.75;-7.92;-13.40;-4.27;-1.83;-10.36;20.97;23.40;12.39;8.62;1.85;18.91
